id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long
2124049160,2015-04-16,440000.0,6,3.0,2510,5310,1.0,0,0,4,7,1460,1050,1944,0,98108,47.5533,-122.304
302000545,2015-01-27,359000.0,4,2.25,2710,22860,1.0,0,0,4,7,1850,860,1962,0,98001,47.3207,-122.266
1972200259,2014-05-07,425000.0,2,2.5,1150,1027,3.0,0,0,3,8,1150,0,2008,0,98103,47.6534,-122.35600000000001
3163600130,2015-03-17,234900.0,3,1.0,1250,8000,1.0,0,0,3,7,1250,0,1956,0,98146,47.5065,-122.337
1079600270,2015-03-06,325000.0,3,1.75,1840,17286,1.0,0,0,4,7,1440,400,1978,0,98030,47.371,-122.17299999999999
5104200380,2014-10-14,265000.0,3,1.0,1010,14948,1.0,0,0,5,6,1010,0,1969,0,98059,47.4772,-122.14399999999999
2571910210,2014-10-01,305000.0,3,2.0,1680,8487,1.0,0,0,3,7,1680,0,1993,0,98022,47.1959,-122.01
8946400210,2014-06-03,548000.0,3,2.5,2110,4099,2.0,0,0,3,8,2110,0,2001,0,98072,47.7508,-122.17
6383900090,2014-09-04,838300.0,6,2.5,3760,12978,1.0,0,0,3,9,2360,1400,1967,0,98117,47.6976,-122.381
3754501060,2014-09-18,910000.0,2,2.5,2000,5150,2.0,0,4,3,9,2000,0,1992,0,98034,47.7056,-122.223
2025701190,2015-05-07,295000.0,3,1.75,1520,6559,1.0,0,0,4,7,1170,350,1992,0,98038,47.35,-122.037
2944000170,2014-06-11,1010000.0,4,2.5,3760,29224,2.0,0,0,3,11,3760,0,1987,0,98052,47.7203,-122.12799999999999
5466350120,2015-03-11,256500.0,3,2.0,1320,8568,1.0,0,0,3,7,1320,0,1993,0,98042,47.3904,-122.164
7686205020,2015-03-12,144975.0,2,1.0,900,7500,1.0,0,0,3,5,900,0,1940,0,98198,47.4177,-122.319
164000267,2014-10-16,311300.0,2,1.0,1000,7228,1.0,0,0,4,7,1000,0,1947,0,98133,47.7294,-122.352
8669160310,2014-12-09,266000.0,3,2.5,1805,3402,2.0,0,0,3,7,1805,0,2009,0,98002,47.3521,-122.212
8898700820,2014-07-07,170500.0,2,1.0,1060,7700,1.0,0,0,3,7,820,240,1981,0,98055,47.4599,-122.205
6623400187,2014-09-23,185000.0,4,1.0,1760,8906,1.0,0,0,3,7,1230,530,1966,0,98055,47.4288,-122.198
7518506595,2014-08-26,660000.0,3,2.0,2880,5100,1.5,0,0,4,7,2080,800,1926,0,98117,47.6805,-122.385
993002177,2015-05-06,345000.0,3,2.5,1380,1547,3.0,0,0,3,8,1380,0,2000,0,98103,47.6908,-122.34100000000001
7645900165,2014-10-16,810000.0,4,1.0,2150,3588,2.0,0,3,4,8,1850,300,1926,0,98126,47.5767,-122.37799999999999
3832080070,2014-06-16,284000.0,3,2.5,1880,6008,2.0,0,0,3,7,1880,0,2009,0,98042,47.3366,-122.052
7237450080,2014-08-23,362865.0,4,2.5,2245,4301,2.0,0,0,3,8,2245,0,2014,0,98038,47.3555,-122.06299999999999
3580900260,2014-05-05,340000.0,5,1.0,1120,9022,1.5,0,0,4,7,1120,0,1962,0,98034,47.7296,-122.24
8691510170,2015-02-04,368750.0,3,2.5,2230,5717,2.0,0,0,3,7,2230,0,2004,0,98058,47.4388,-122.117
5605000590,2014-12-15,975000.0,4,2.5,3020,4950,1.5,0,0,4,9,2020,1000,1921,0,98112,47.6467,-122.304
2423069120,2014-05-08,295000.0,2,1.75,2200,89298,1.0,0,0,3,7,1100,1100,1973,0,98027,47.4633,-121.976
7335400215,2015-05-05,95000.0,1,0.75,760,5746,1.0,0,0,4,5,760,0,1915,0,98002,47.3046,-122.215
8965510190,2014-06-10,1250000.0,4,2.5,3700,21755,1.0,0,4,3,11,2620,1080,1988,0,98006,47.5662,-122.10799999999999
7519000335,2014-12-03,865000.0,6,2.75,3500,5150,2.0,0,0,5,8,2430,1070,1909,0,98117,47.6842,-122.363
303800020,2015-05-13,425000.0,3,2.75,3370,13929,2.0,0,0,3,9,2650,720,1986,0,98092,47.3411,-122.197
65000210,2014-06-26,471000.0,2,1.75,1240,6417,1.0,0,0,5,7,1240,0,1924,0,98126,47.5439,-122.37899999999999
8562750320,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07
1377300020,2015-02-19,650000.0,3,1.5,2120,8448,1.0,0,0,3,7,1060,1060,1940,0,98199,47.6438,-122.40299999999999
7526800040,2014-08-27,716000.0,4,2.25,2480,9780,1.0,0,0,4,8,1900,580,1975,0,98052,47.6388,-122.09899999999999
7871500685,2014-07-08,613000.0,2,2.0,1170,1890,1.5,0,1,4,8,1170,0,1927,0,98119,47.6402,-122.37100000000001
3523069047,2014-08-25,849000.0,4,2.75,4010,87555,2.0,0,0,3,10,4010,0,2004,0,98038,47.4299,-121.99799999999999
7922720040,2015-03-17,680000.0,4,2.5,2880,9202,1.0,0,0,3,8,1780,1100,1977,0,98052,47.6658,-122.139
7694600201,2015-03-22,300000.0,3,1.75,1420,7200,1.0,0,0,3,7,1000,420,1979,0,98146,47.5069,-122.367
274000070,2015-04-01,355000.0,5,2.75,2530,9375,1.0,0,0,5,7,1530,1000,1966,0,98030,47.3738,-122.214
3422049088,2015-03-24,389000.0,3,1.75,2180,9220,1.0,0,0,4,7,1090,1090,1938,0,98001,47.3547,-122.285
9525600030,2015-04-28,631500.0,2,2.5,1780,2493,3.0,0,0,3,8,1780,0,1981,0,98107,47.6704,-122.35799999999999
4037000080,2014-06-15,416000.0,3,1.0,1110,12150,1.0,0,0,4,7,1110,0,1957,0,98008,47.6034,-122.12200000000001
9347900020,2015-01-27,230000.0,3,1.0,880,9035,1.0,0,0,4,6,880,0,1967,0,98059,47.476000000000006,-122.15100000000001
5379804537,2014-08-26,270000.0,3,2.25,1760,8287,1.0,0,0,3,7,1160,600,1986,0,98188,47.4501,-122.274
9818700645,2014-07-23,415000.0,3,1.75,1470,4000,1.0,0,0,3,7,1070,400,1979,0,98122,47.6067,-122.29799999999999
6791000050,2014-09-08,550000.0,3,2.75,2230,14400,1.0,0,0,4,8,1460,770,1977,0,98075,47.5791,-122.04799999999999
1402600040,2014-08-25,330000.0,4,2.25,2430,7490,2.0,0,0,3,8,2430,0,1983,0,98058,47.4406,-122.139
3444100400,2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073
9264900880,2014-07-15,263000.0,3,1.75,1790,7485,1.0,0,0,4,8,1330,460,1979,0,98023,47.3118,-122.34
9557300560,2014-05-08,530000.0,3,1.75,1980,6760,1.0,0,0,4,8,1980,0,1973,0,98008,47.6398,-122.113
263000155,2014-05-05,418000.0,3,2.0,1410,6030,1.5,0,0,4,7,1410,0,1930,0,98103,47.6994,-122.34700000000001
3902100175,2014-07-28,850000.0,5,3.0,3900,5250,1.5,0,1,5,8,2620,1280,1931,0,98116,47.5577,-122.389
7893203770,2015-03-04,196000.0,3,1.0,1220,6719,1.0,0,0,3,6,1220,0,1953,0,98198,47.4187,-122.329
7370600045,2015-04-02,640000.0,3,1.75,1680,8100,1.0,0,2,3,8,1680,0,1950,0,98177,47.7212,-122.36399999999999
8651720060,2015-02-02,431000.0,3,2.25,1830,8831,1.0,0,0,3,7,1460,370,1979,0,98034,47.7286,-122.215
249000180,2014-12-01,1890000.0,4,4.25,4285,9345,2.0,0,0,3,10,4285,0,2013,0,98004,47.6332,-122.199
3089000005,2014-07-24,150000.0,2,1.0,850,54000,1.5,0,0,1,4,850,0,1950,0,98023,47.2959,-122.37700000000001
7010700905,2014-06-11,476000.0,3,1.0,1140,5500,1.5,0,0,4,6,1140,0,1908,0,98199,47.6606,-122.395
2991000160,2014-12-12,312500.0,4,0.5,2300,5570,2.0,0,0,3,8,2300,0,1996,0,98092,47.3285,-122.16799999999999
9477710160,2015-04-26,425000.0,3,1.75,1560,9452,1.0,0,0,4,8,1560,0,1974,0,98056,47.5197,-122.18
723049448,2014-07-22,279500.0,3,1.5,1200,8040,1.0,0,0,4,7,1200,0,1959,0,98146,47.4901,-122.34100000000001
2561340020,2015-02-17,500000.0,3,1.75,1780,11096,1.0,0,0,3,7,1210,570,1979,0,98074,47.617,-122.051
1509500380,2015-01-28,379000.0,4,2.5,2570,10155,2.0,0,0,3,9,2570,0,1994,0,98030,47.3842,-122.17
7226500100,2015-02-19,373000.0,8,3.0,2850,12714,1.0,0,0,3,7,2850,0,1959,0,98055,47.4859,-122.205
3664500133,2014-11-17,383000.0,4,2.0,1830,21183,1.0,0,0,4,7,1060,770,1966,0,98059,47.4826,-122.12799999999999
2622029072,2014-10-01,520000.0,4,3.5,2734,210201,2.0,0,0,5,8,2734,0,1974,0,98070,47.3652,-122.50399999999999
3204960200,2014-06-19,750000.0,3,3.5,3390,10078,2.0,0,0,3,10,3040,350,2012,0,98056,47.537,-122.185
1725059127,2015-02-25,2350000.0,6,4.25,5550,11547,2.0,0,2,3,11,4270,1280,2014,0,98033,47.6547,-122.20200000000001
3449850050,2014-06-20,420000.0,5,3.0,2630,3149,2.0,0,0,3,8,1670,960,2013,0,98056,47.5065,-122.171
7517500611,2014-05-21,720000.0,3,2.5,2020,1159,3.0,0,3,3,8,2020,0,2000,0,98103,47.6617,-122.35600000000001
2721059173,2015-03-09,204555.0,3,1.75,1260,15000,1.5,0,0,4,7,1260,0,1983,0,98092,47.2737,-122.15299999999999
1972201967,2014-10-31,520000.0,2,2.25,1530,981,3.0,0,0,3,8,1480,50,2006,0,98103,47.6533,-122.346
9268850480,2015-04-10,308000.0,3,1.75,1300,1237,2.0,0,0,3,7,1060,240,2008,0,98027,47.538999999999994,-122.02600000000001
1081300450,2014-08-14,364000.0,4,2.5,2080,11050,1.0,0,0,4,8,2080,0,1969,0,98059,47.472,-122.119
8807600140,2015-04-24,405000.0,3,1.0,1280,11625,1.0,0,0,4,7,1280,0,1977,0,98053,47.6827,-122.059
9510900270,2014-12-11,254000.0,3,2.0,2070,9000,1.0,0,0,4,7,1450,620,1969,0,98023,47.3085,-122.376
2473410740,2014-10-27,315000.0,3,1.75,1460,7884,1.0,0,0,3,8,1460,0,1975,0,98058,47.4457,-122.12799999999999
9405800040,2014-10-16,775000.0,4,1.75,1890,4800,1.5,0,0,3,7,1390,500,1906,0,98119,47.6405,-122.367
984100450,2014-06-24,295000.0,3,1.75,2000,7560,1.0,0,0,4,7,1300,700,1968,0,98058,47.4346,-122.171
2313900560,2014-08-25,554000.0,3,2.0,1830,3500,1.5,0,0,5,7,1290,540,1909,0,98116,47.573,-122.383
7202340530,2015-04-10,498000.0,3,2.5,1690,4088,2.0,0,0,3,7,1690,0,2004,0,98053,47.6779,-122.03399999999999
9000025,2014-12-03,496000.0,2,1.0,1420,4635,2.0,0,0,4,7,1420,0,1941,1973,98115,47.68,-122.304
2490200165,2014-06-23,500000.0,3,1.0,1150,5100,2.0,0,0,3,8,1150,0,1911,2005,98136,47.5349,-122.384
3904100220,2014-12-09,276000.0,2,2.0,1480,6075,1.0,0,0,5,7,740,740,1919,0,98118,47.5317,-122.27600000000001
1939120050,2015-03-03,638250.0,4,2.5,2460,8029,2.0,0,0,3,9,2460,0,1989,0,98074,47.6262,-122.03
7525950180,2014-07-01,1060000.0,4,2.5,4570,16015,2.0,0,2,3,11,4570,0,1990,0,98074,47.6246,-122.06700000000001
3630020090,2015-05-04,454280.0,3,2.5,1470,1741,2.0,0,0,3,8,1170,300,2004,0,98029,47.5464,-121.999
9485750110,2014-09-18,366000.0,3,1.75,1680,6108,1.0,0,0,3,8,1680,0,1989,0,98055,47.4501,-122.208
5147600105,2014-07-21,178500.0,2,1.0,740,6460,1.0,0,0,3,6,740,0,1953,0,98146,47.5077,-122.344
3299600120,2014-07-18,698000.0,4,2.5,2990,7231,2.0,0,0,3,9,2990,0,2001,0,98075,47.5623,-122.03200000000001
23500180,2014-05-05,570000.0,3,2.25,2010,6000,1.0,0,0,3,8,1330,680,1975,0,98052,47.6912,-122.115
3629980350,2014-12-09,753000.0,4,2.5,3060,8167,2.0,0,0,3,9,3060,0,2005,0,98029,47.5521,-121.98899999999999
3379200100,2014-05-23,334000.0,4,2.5,2210,6080,1.0,0,2,4,8,1410,800,1965,0,98178,47.4915,-122.228
3278602490,2014-09-26,365000.0,3,2.5,1780,1754,3.0,0,0,3,8,1780,0,2007,0,98126,47.548,-122.37299999999999
6204200590,2014-10-29,410000.0,3,2.75,1690,5763,1.0,0,0,5,7,1180,510,1985,0,98011,47.7336,-122.20200000000001
3904980030,2015-04-14,500000.0,3,2.25,1690,4964,2.0,0,0,3,8,1690,0,1989,0,98029,47.5756,-122.01
7214780020,2015-04-17,595000.0,4,2.5,2360,43017,2.0,0,0,3,9,2360,0,1989,0,98077,47.773999999999994,-122.07700000000001
8151600142,2015-05-12,319950.0,5,1.75,1710,11900,1.0,0,0,3,7,1070,640,1958,0,98146,47.506,-122.365
8558600085,2014-05-09,311100.0,4,2.25,2130,8078,1.0,0,0,4,7,1380,750,1977,0,98055,47.4482,-122.209
7011201445,2014-07-02,525000.0,2,1.75,1530,3503,1.0,0,1,4,7,830,700,1916,0,98119,47.6368,-122.37100000000001
9521100029,2014-07-16,716000.0,3,3.0,1660,1849,3.0,0,0,3,9,1660,0,2013,0,98103,47.6649,-122.353
1796700160,2015-03-24,279900.0,4,2.5,1770,4338,2.0,0,0,3,7,1770,0,2001,0,98042,47.3672,-122.09899999999999
6145602125,2014-07-24,295000.0,3,1.0,830,3386,1.0,0,0,3,6,830,0,1942,1989,98133,47.7027,-122.355
6061400160,2014-09-18,330000.0,4,2.25,1790,9920,1.0,0,0,4,7,1170,620,1969,0,98059,47.5126,-122.149
3448001285,2014-08-18,442500.0,4,2.0,1540,5920,1.5,0,0,5,7,1540,0,1935,0,98125,47.7148,-122.301
3344500183,2015-01-28,375000.0,4,1.75,1870,12500,1.0,0,1,5,6,1030,840,1943,0,98056,47.511,-122.197
1324079046,2015-01-20,350000.0,3,2.25,1580,47916,1.0,0,0,3,7,1580,0,1979,0,98024,47.5583,-121.852
8078520280,2015-03-23,308000.0,4,2.5,1960,5642,2.0,0,0,3,7,1960,0,1998,0,98092,47.3167,-122.18700000000001
5256500025,2014-08-27,457000.0,4,1.75,2100,10358,1.0,0,0,5,8,1280,820,1959,0,98133,47.7478,-122.338
985001321,2014-12-17,291000.0,4,1.0,1590,24330,1.5,0,0,3,6,1140,450,1942,0,98168,47.4906,-122.309
7853320280,2015-03-12,425000.0,3,2.5,1950,4345,2.0,0,0,3,7,1950,0,2007,0,98065,47.5202,-121.87299999999999
7443001470,2014-05-20,755000.0,6,2.0,2150,4505,1.0,0,0,3,7,1270,880,1952,0,98119,47.6514,-122.369
7635801032,2014-07-10,410000.0,3,1.0,1470,6500,1.0,0,0,4,7,1470,0,1953,0,98166,47.473,-122.36200000000001
4047200380,2014-05-26,460000.0,2,1.5,2730,19877,1.0,0,0,4,8,1570,1160,1976,0,98019,47.7698,-121.898
2597650660,2014-10-13,775000.0,4,2.5,3180,15358,2.0,0,0,3,9,3180,0,1988,0,98027,47.5172,-122.053
871000065,2014-11-20,419000.0,2,1.0,720,4592,1.0,0,0,4,6,720,0,1943,0,98199,47.6534,-122.404
3831250150,2015-03-26,435000.0,3,2.75,2692,6197,2.0,0,0,3,9,2692,0,2007,0,98030,47.3569,-122.20200000000001
2249800080,2014-05-23,445000.0,3,2.0,1630,8702,1.0,0,0,3,9,1630,0,1987,0,98056,47.5168,-122.193
5457300478,2015-05-13,453500.0,2,1.75,1000,1760,1.0,0,0,4,6,600,400,1924,0,98109,47.6261,-122.355
711000110,2014-09-15,1266520.0,3,2.5,3060,9576,2.0,0,0,3,10,3060,0,2005,0,98004,47.5928,-122.199
4385700765,2014-06-03,850000.0,3,1.75,1370,3850,1.0,0,0,5,7,770,600,1911,1988,98112,47.6374,-122.279
5151600530,2015-04-23,460000.0,4,2.5,2680,11998,1.0,0,3,3,8,1510,1170,1960,0,98003,47.336999999999996,-122.321
7732410360,2014-08-22,752888.0,3,2.5,2420,9000,2.0,0,0,4,9,2420,0,1987,0,98007,47.6599,-122.146
9485700136,2015-02-27,330000.0,3,1.0,1140,7316,1.0,0,0,3,6,1140,0,1959,0,98106,47.527,-122.36200000000001
6431000196,2014-06-04,519000.0,2,1.0,830,2820,1.0,0,0,4,7,830,0,1920,0,98103,47.68899999999999,-122.34700000000001
546001060,2015-04-27,763000.0,4,1.75,1850,4388,2.0,0,0,5,8,1850,0,1941,0,98117,47.6885,-122.381
8658300260,2014-12-09,361000.0,3,1.75,1150,17585,1.0,0,0,3,7,1150,0,1964,0,98014,47.6503,-121.90799999999999
3531900060,2014-08-02,345000.0,2,1.0,860,8250,1.0,0,0,3,7,860,0,1940,0,98133,47.7132,-122.334
9541600255,2015-03-10,762450.0,4,1.75,2570,8640,1.0,0,0,4,8,2570,0,1958,0,98005,47.5956,-122.17200000000001
8682260610,2015-04-30,572000.0,2,2.0,1870,5143,1.0,0,0,3,8,1870,0,2005,0,98053,47.7142,-122.03299999999999
3528400180,2014-10-03,350000.0,4,2.75,3390,16153,1.0,0,0,4,7,1970,1420,1961,0,98031,47.3954,-122.184
5602000275,2014-08-25,259950.0,4,2.0,1540,10212,1.5,0,0,5,7,1540,0,1948,0,98022,47.2056,-121.999
3625059120,2014-10-23,790000.0,5,3.25,3030,20446,2.0,0,2,3,9,2130,900,1976,0,98008,47.6133,-122.10600000000001
257000138,2015-01-15,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0,98168,47.4889,-122.29899999999999
5452302195,2014-12-30,685000.0,3,2.5,1460,8800,1.0,0,0,4,7,1460,0,1956,0,98040,47.5895,-122.23200000000001
8658301535,2014-07-21,240000.0,3,1.0,1090,10000,1.0,0,0,3,6,1090,0,1961,0,98014,47.6503,-121.911
293910030,2014-10-08,655000.0,4,2.5,2570,4412,2.0,0,0,3,9,2570,0,2001,0,98034,47.7076,-122.23200000000001
1431700210,2014-07-02,305000.0,3,1.0,1580,7424,1.0,0,0,3,7,1010,570,1962,0,98058,47.4607,-122.171
8082400136,2014-06-26,815000.0,4,2.75,2620,4743,1.0,0,2,4,8,1310,1310,1949,0,98117,47.6829,-122.4
7549801385,2014-06-12,280000.0,1,0.75,420,6720,1.0,0,0,3,5,420,0,1922,0,98108,47.552,-122.311
3275860270,2014-10-22,755000.0,3,2.25,3020,13031,2.0,0,0,3,9,3020,0,1989,0,98052,47.6897,-122.098
7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189
7811210320,2014-08-01,549000.0,5,2.5,1710,9720,2.0,0,0,4,8,1710,0,1974,0,98005,47.5903,-122.15700000000001
1443550080,2015-03-30,487600.0,4,2.5,2340,12080,2.0,0,0,3,8,2340,0,1999,0,98019,47.7325,-121.969
8085400410,2015-03-31,920000.0,3,1.0,1410,9656,1.0,0,0,3,7,960,450,1953,0,98004,47.6354,-122.208
4006000307,2014-09-16,155000.0,2,1.0,810,4755,1.0,0,0,3,7,810,0,1980,0,98118,47.5313,-122.28
2887701940,2014-12-05,485000.0,2,1.75,2060,2700,1.0,0,0,3,7,1030,1030,1929,0,98115,47.6856,-122.31200000000001
7511200190,2014-09-10,580000.0,4,2.25,2570,36465,2.0,0,0,4,8,2570,0,1980,0,98053,47.6555,-122.042
8856700130,2014-06-12,822000.0,4,2.5,2683,40386,2.0,0,0,4,9,2683,0,1987,0,98052,47.6982,-122.13799999999999
6638900461,2014-06-05,700000.0,3,2.5,2050,4185,2.0,0,0,3,9,2050,0,2011,0,98117,47.6922,-122.37100000000001
273800100,2014-12-19,239900.0,4,1.75,1480,9523,1.0,0,0,3,7,1120,360,1959,0,98030,47.3732,-122.21700000000001
797000276,2014-06-25,270000.0,2,1.0,2060,8398,1.0,0,0,3,7,1260,800,1962,0,98168,47.50899999999999,-122.324
3413700130,2014-06-25,425000.0,3,2.5,2320,2267,3.0,0,0,3,8,2320,0,2009,0,98177,47.7027,-122.359
5561301150,2014-11-11,632000.0,5,3.0,3520,36558,2.0,0,0,4,8,2100,1420,1985,0,98027,47.4658,-122.007
2011400779,2014-12-02,385000.0,4,2.75,2960,10454,1.0,0,1,3,8,2360,600,1979,0,98198,47.4006,-122.322
2475900170,2015-04-29,303000.0,4,1.0,2300,9583,1.0,0,0,3,6,1220,1080,1928,0,98024,47.5671,-121.89
3810000465,2014-05-20,243000.0,2,1.0,1770,5522,1.5,0,0,4,7,960,810,1943,0,98178,47.4974,-122.23100000000001
3332500100,2015-04-08,475000.0,3,2.5,1800,3300,2.0,0,0,3,7,1690,110,2004,0,98118,47.5491,-122.27600000000001
5205000020,2015-04-09,360000.0,4,2.5,2610,7333,2.0,0,0,3,8,2610,0,1988,0,98003,47.2721,-122.29299999999999
6806100040,2014-08-25,349950.0,4,2.5,2000,5006,2.0,0,0,3,7,2000,0,2005,0,98058,47.466,-122.147
2025049192,2014-10-21,527500.0,3,2.5,1380,1389,3.0,0,0,3,8,1380,0,2008,0,98102,47.6427,-122.32700000000001
3992700036,2014-06-26,415000.0,3,1.0,1170,6700,1.0,0,0,3,8,1170,0,1957,0,98125,47.7122,-122.29
4219401236,2014-05-20,1690000.0,3,1.75,3400,8965,1.0,0,2,5,9,1820,1580,1957,0,98105,47.6569,-122.273
8910500675,2014-05-19,461000.0,2,1.0,1060,7193,1.0,0,0,3,7,1060,0,1926,0,98133,47.7102,-122.35600000000001
2215901230,2015-05-07,254000.0,3,2.0,1470,7694,1.0,0,0,4,7,1470,0,1992,0,98038,47.3539,-122.054
2397101460,2014-08-11,885000.0,2,2.0,1313,3600,1.0,0,0,3,8,1313,0,1904,2012,98119,47.6369,-122.365
2919200440,2015-04-07,715000.0,4,2.5,1860,3840,1.5,0,0,3,7,1170,690,1928,2014,98117,47.6886,-122.359
7631200292,2014-06-26,669000.0,2,1.75,1950,10766,1.0,0,3,4,6,1160,790,1952,0,98166,47.4504,-122.37700000000001
5104450720,2014-11-19,325000.0,4,2.5,2280,9899,2.0,0,0,3,8,2280,0,1987,0,98058,47.461000000000006,-122.148
9269260420,2014-11-10,436000.0,4,2.5,2640,3899,2.0,0,0,3,7,2640,0,2000,0,98011,47.754,-122.21700000000001
821049191,2014-09-16,285000.0,3,1.5,1380,12196,1.0,0,0,4,7,1380,0,1967,0,98003,47.3204,-122.322
7304301085,2015-01-29,322500.0,2,1.0,1130,8184,1.0,0,0,3,6,1130,0,1947,0,98155,47.7473,-122.32
1330280100,2014-08-01,178000.0,3,1.0,1100,5734,1.0,0,0,4,7,1100,0,1955,0,98030,47.3632,-122.17399999999999
2987400025,2014-10-09,253000.0,3,1.0,1030,6250,1.0,0,0,3,7,1030,0,1960,1997,98056,47.4988,-122.16799999999999
1532300155,2014-09-16,425000.0,4,1.0,1080,6095,1.5,0,0,4,6,1080,0,1924,0,98103,47.6962,-122.346
3343302110,2015-03-06,1800000.0,3,3.0,2790,13295,2.0,1,4,4,10,2370,420,1933,1989,98006,47.5466,-122.197
2538410140,2014-08-08,330000.0,5,2.5,2600,3839,2.0,0,0,3,7,2600,0,2005,0,98058,47.4324,-122.145
1566100555,2015-05-01,721000.0,4,2.0,2280,8339,1.0,0,0,4,7,1220,1060,1954,0,98115,47.6986,-122.29700000000001
3333000775,2014-09-03,249900.0,3,1.0,1100,5000,1.0,0,0,3,7,1100,0,1960,0,98118,47.5433,-122.28299999999999
3448000542,2014-08-11,290000.0,2,1.5,1076,1060,3.0,0,0,3,7,1076,0,2006,0,98125,47.7167,-122.29799999999999
9348700480,2014-07-15,856500.0,4,2.5,3290,8147,2.0,0,0,3,10,3290,0,2003,0,98052,47.7048,-122.10700000000001
6788203060,2014-10-10,690000.0,3,2.75,2480,3240,1.5,0,0,3,9,1890,590,1929,0,98112,47.6399,-122.311
3323059027,2014-05-28,326000.0,3,2.75,1720,28000,1.0,0,0,4,7,1720,0,1958,0,98058,47.4375,-122.176
4399200085,2015-03-05,315000.0,4,2.25,2550,9736,1.0,0,0,4,8,2550,0,1967,0,98002,47.3193,-122.212
1588600110,2014-08-11,450000.0,3,1.0,1290,5440,1.0,0,0,4,6,790,500,1929,0,98117,47.6951,-122.367
2591010290,2014-05-19,285000.0,1,1.5,810,3211,2.0,0,0,4,7,810,0,1982,0,98033,47.6939,-122.184
3760500730,2014-07-28,1085500.0,4,2.75,3010,10830,2.0,0,3,4,9,3010,0,1980,0,98034,47.7005,-122.23200000000001
7967700570,2015-03-02,245000.0,3,2.25,1350,6775,1.0,0,0,3,7,930,420,1981,0,98032,47.3593,-122.289
8731730590,2015-05-13,242150.0,4,1.75,1490,8544,1.0,0,0,4,7,1490,0,1970,0,98031,47.3894,-122.166
5104530770,2015-01-21,353000.0,4,2.5,2300,4249,2.0,0,0,3,8,2300,0,2006,0,98038,47.3516,-122.0
6821100015,2014-08-28,707000.0,2,2.5,2130,5001,1.0,0,0,5,8,1330,800,1972,0,98199,47.6573,-122.399
125059179,2014-07-23,510000.0,6,4.5,3300,7200,2.0,0,0,3,8,3300,0,1980,0,98052,47.6798,-122.104
